Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2011-01-31,8707.9501953125,8709.9501953125,8500.650390625,8595.7001953125,0,,,,,,,,,,2.434936071893685,209.2998046875,,,0.0,0.0,0.0,,,,,,,2011,1,31,0,1,,0.0
2011-02-01,8625.599609375,8665.5,8352.75,8449.5,0,-1.7008526587773187,-1.715483291915505,,,,,,,,3.701402449849103,312.75,0.3478415182372819,,-11.662693643162129,-2.332538728632426,-9.330154914529704,,,,,,,2011,2,1,1,1,0.9829914734122268,-1.7008526587773187
2011-02-02,8491.25,8555.25,8411.9501953125,8440.0498046875,0,-0.11184324886087671,-0.11190584009618852,,,,,,,,1.6978549653571127,143.2998046875,0.49411207763773,,-21.421085227340882,-6.150248028374118,-15.270837198966763,,,,,,,2011,2,2,2,1,0.9818920638123372,-1.810793618766282
2011-02-03,8411.099609375,8551.150390625,8405.25,8491.2998046875,0,0.6072239049055961,0.6053877299318918,,,,,,,,1.7182338862238473,145.900390625,-0.343009768691429,,-24.734114699534985,-9.867021362606291,-14.867093336928694,,,,,,,2011,2,3,3,1,0.9878543471441766,-1.2145652855823474
2011-02-04,8495.849609375,8524.0,8188.75,8230.0498046875,0,-3.0766785534504515,-3.125002064606133,,,,,,,,4.073486892011945,335.25,0.05358195791165382,,-47.88837864841116,-17.471292819767264,-30.4170858286439,,,,,,,2011,2,4,4,1,0.9574612443062638,-4.253875569373633
2011-02-07,8332.599609375,8396.0,8240.150390625,8331.4501953125,0,1.2320750546035208,1.2245467828003582,,,,,,,,1.870618028331793,155.849609375,1.2460411190840162,,-57.39452717789027,-25.45593969139187,-31.9385874864984,,,,,,,2011,2,7,0,1,0.9692578854548577,-3.074211454514242
2011-02-08,8356.0498046875,8378.7001953125,8239.7998046875,8260.7998046875,0,-0.847996314792232,-0.8516122601084379,,,,,,,,1.681439980499013,138.900390625,0.2952620347996608,,-69.82422425593904,-34.3295966043013,-35.49462765163774,,,,,,,2011,2,8,1,1,0.9610386143053674,-3.89613856946327
2011-02-09,8248.400390625,8263.2001953125,8111.89990234375,8181.10009765625,0,-0.9647940746127959,-0.9694783661722418,,,,,,,,1.849388116056605,151.30029296875,-0.15009943777434345,,-85.12468464430094,-44.48861421230123,-40.63607043199971,,,,,,,2011,2,9,2,1,0.9517665706998083,-4.823342930019181
2011-02-10,8167.64990234375,8284.2001953125,8162.89990234375,8194.75,0,0.1668467832053544,0.16670774858839857,,,,,,,,1.4802195670246194,121.30029296875,-0.16440570524681952,,-95.05326185967715,-54.60154374177641,-40.45171811790074,,,,,,,2011,2,10,3,1,0.9533545626066449,-4.664543739335514
2011-02-11,8214.9501953125,8230.2001953125,8118.5498046875,8186.75,0,-0.09762347844656238,-0.09767116119984995,,,,,,,,1.363793820808013,111.650390625,0.24650166646328445,,-102.38701025508999,-64.15863704443913,-38.22837321065086,,,,,,,2011,2,11,4,1,0.9524238647206993,-4.757613527930083
2011-02-14,8191.35009765625,8443.400390625,8191.35009765625,8393.150390625,0,2.5211517467248923,2.4898949806017106,,,,,,,,3.003047499902846,252.05029296875,0.05618954598894555,,-90.50103256340299,-69.4271161482319,-21.073916415171084,,,,,,,2011,2,14,0,1,0.9764359156223299,-2.3564084377670214
2011-02-15,8430.099609375,8440.400390625,8328.75,8376.349609375,0,-0.20017252721655776,-0.20037314017921593,,,,,,,,1.3329241952847617,111.650390625,0.44023062890987424,,-81.49753934269756,-71.84120078712505,-9.656338555572518,,,,,,,2011,2,15,1,1,0.9744813591733785,-2.5518640826621475
2011-02-16,8345.150390625,8459.0,8345.150390625,8412.75,0,0.43456150139984384,0.43362000949611823,,,,,,,,1.3532983789486197,113.849609375,-0.37246796283528005,,-70.61103868581813,-71.59516836686367,0.9841296810455447,,,,,,,2011,2,16,2,1,0.978716079998664,-2.1283920001336054
