Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2011-07-12,3795.89990234375,3795.89990234375,3795.89990234375,3795.89990234375,0,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,2011,7,12,1,3,,0.0
2011-07-13,3837.31005859375,3837.31005859375,3837.31005859375,3837.31005859375,0,1.0909180251152506,1.0850104402000498,,,,,,,,0.0,0.0,1.0909180251152462,,3.3033742877487384,0.6606748575497478,2.6426994301989906,,,,,,,2011,7,13,2,3,1.0109091802511525,0.0
2011-07-14,3868.909912109375,3868.909912109375,3868.909912109375,3868.909912109375,0,0.8234897111025985,0.820117534948025,,,,,,,,0.0,0.0,0.8234897111026083,,8.374628790363204,2.203465644112439,6.171163146250764,,,,,,,2011,7,14,3,3,1.0192339133391124,0.0
2011-07-15,3868.909912109375,3868.909912109375,3868.909912109375,3868.909912109375,0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,12.252396519871581,4.213251819264268,8.039144700607313,,,,,,,2011,7,15,4,3,1.0192339133391124,0.0
2011-07-18,3831.679931640625,3831.679931640625,3831.679931640625,3831.679931640625,0,-0.9622860525189014,-0.9669459431679884,,,,,,,,0.0,0.0,-0.9622860525189064,,12.180992207649979,5.80679989694141,6.374192310708569,,,,,,,2011,7,18,0,3,1.0094259675485076,-0.9622860525189014
2011-07-19,3854.300048828125,3854.300048828125,3854.300048828125,3854.300048828125,0,0.5903446423254577,0.5886089360909753,,,,,,,,0.0,0.0,0.5903446423254527,,13.79068772491064,7.403577462535257,6.3871102623753835,,,,,,,2011,7,19,1,3,1.015385059666172,-0.37762221434833876
2011-07-20,3845.3798828125,3845.3798828125,3845.3798828125,3845.3798828125,0,-0.23143413596814488,-0.2317023586837969,,,,,,,,0.0,0.0,-0.2314341359681408,,14.183106152003802,8.759483200428967,5.423622951574835,,,,,,,2011,7,20,2,3,1.013035112026584,-0.6081824036074823
2011-07-21,3824.43994140625,3824.43994140625,3824.43994140625,3824.43994140625,0,-0.5445480562231153,-0.5460361237713286,,,,,,,,0.0,0.0,-0.5445480562231108,,12.658502970999507,9.539287154543075,3.119215816456432,,,,,,,2011,7,21,3,3,1.0075186490151855,-1.1494186143734542
2011-07-22,3824.43994140625,3824.43994140625,3824.43994140625,3824.43994140625,0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,11.31975685515863,9.895381094666186,1.4243757604924436,,,,,,,2011,7,22,4,3,1.0075186490151855,-1.1494186143734542
2011-07-25,3824.43994140625,3824.43994140625,3824.43994140625,3824.43994140625,0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,10.141881615053535,9.944681198743657,0.19720041630987772,,,,,,,2011,7,25,0,3,1.0075186490151855,-1.1494186143734542
