Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_50,MA_200,Price_MA50_Ratio,Price_MA200_Ratio,Volatility_20d,Volume_MA_20,Volume_Ratio,Daily_Range,Daily_Range_Abs,Gap,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,ATR_14,Year,Month,Day,DayOfWeek,Quarter,Cumulative_Return,Drawdown
2011-01-31,4633.2998046875,4700.60009765625,4593.89990234375,4689.7998046875,0,,,,,,,,,,2.275154585614766,106.7001953125,,,0.0,0.0,0.0,,,,,,,2011,1,31,0,1,,0.0
2011-02-01,4705.7998046875,4723.9501953125,4598.10009765625,4629.25,0,-1.291095722827651,-1.2995028043647714,,,,,,,,2.7185850333477344,125.85009765625,0.3411659487897084,,-4.830183849714558,-0.9660367699429117,-3.8641470797716466,,,,,,,2011,2,1,1,1,0.9870890427717235,-1.291095722827651
2011-02-02,4643.64990234375,4672.2998046875,4603.25,4630.2001953125,0,0.020525901873957864,0.020523795598935534,,,,,,,,1.491291991162808,69.0498046875,0.3110633978236215,,-8.483672039238627,-2.469563823802055,-6.014108215436572,,,,,,,2011,2,2,2,1,0.9872916517000514,-1.2708348299948713
2011-02-03,4618.9501953125,4662.35009765625,4605.39990234375,4640.89990234375,0,0.23108519243038028,0.23081860122245598,,,,,,,,1.2271369025593286,56.9501953125,-0.24297005583882142,,-10.395873654871139,-4.054825790015872,-6.341047864855266,,,,,,,2011,2,3,3,1,0.9895731365132315,-1.0426863486768467
2011-02-04,4637.85009765625,4679.5498046875,4557.10009765625,4573.25,0,-1.4576893224864773,-1.4684180014731674,,,,,,,,2.6775205167277103,122.44970703125,-0.06571580408273373,,-17.172139225538558,-6.678288477120409,-10.493850748418149,,,,,,,2011,2,4,4,1,0.9751482345640836,-2.4851765435916384
2011-02-07,4550.39990234375,4558.60009765625,4490.0,4500.2001953125,0,-1.5973280421472724,-1.610222825532921,,,,,,,,1.5243787982522479,68.60009765625,-0.4996468082053245,,-28.112820155116424,-10.965194812719613,-17.14762534239681,,,,,,,2011,2,7,0,1,0.9595719183608874,-4.042808163911249
2011-02-08,4541.7001953125,4541.7001953125,4411.4501953125,4427.60009765625,0,-1.613263732841741,-1.6264185048360267,,,,,,,,2.9417742598060705,130.25,0.9221811963660471,,-42.15566548100924,-17.20328894637754,-24.952376534631696,,,,,,,2011,2,8,1,1,0.9440914926114374,-5.590850738856245
2011-02-09,4422.89990234375,4466.60009765625,4354.7001953125,4373.25,0,-1.2275295071255465,-1.2351258797343025,,,,,,,,2.558735547790545,111.89990234375,-0.10615672619096851,,-57.013108606568494,-25.165252878415735,-31.84785572815276,,,,,,,2011,2,9,2,1,0.9325024909653701,-6.749750903462992
2011-02-10,4358.4501953125,4419.5,4356.7998046875,4393.39990234375,0,0.4607534978277039,0.45969527817658956,,,,,,,,1.4271451883779414,62.7001953125,-0.3384166166466587,,-66.39643384724513,-33.41148907218162,-32.98494477506352,,,,,,,2011,2,10,3,1,0.9367990288098235,-6.320097119017653
2011-02-11,4387.7998046875,4437.4501953125,4367.85009765625,4428.7001953125,0,0.803484630432072,0.8002738798006883,,,,,,,,1.5715694128475284,69.60009765625,-0.12746614878519283,,-70.1754096383338,-40.76427318541206,-29.411136452921745,,,,,,,2011,2,11,4,1,0.9443260650243473,-5.567393497565254
